id,race,count,area_id,created_at,updated_at
1,Asian,3501,435,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
2,Black,13320,435,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
3,Hispanic,13135,435,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
4,White,22769,435,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
5,Other,1677,435,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
6,Asian,16868,445,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
7,Black,8110,445,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
8,Hispanic,12672,445,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
9,White,31978,445,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
10,Other,2583,445,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
11,Asian,4854,456,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
12,Black,11445,456,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
13,Hispanic,6402,456,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
14,White,30371,456,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
15,Other,2065,456,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
16,Asian,4480,431,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
17,Black,1398,431,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
18,Hispanic,7184,431,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
19,White,26405,431,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
20,Other,1294,431,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
21,Asian,1493,471,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
22,Black,674,471,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
23,Hispanic,4987,471,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
24,White,26322,471,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
25,Other,1147,471,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
26,Asian,6764,482,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
27,Black,3428,482,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
28,Hispanic,7125,482,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
29,White,78186,482,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
30,Other,2709,482,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
31,Asian,3806,493,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
32,Black,3204,493,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
33,Hispanic,4418,493,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
34,White,53676,493,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
35,Other,1855,493,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
36,Asian,9723,462,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
37,Black,7910,462,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
38,Hispanic,4530,462,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
39,White,61334,462,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
40,Other,2214,462,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
41,Asian,167,502,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
42,Black,120,502,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
43,Hispanic,1063,502,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
44,White,9926,502,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
45,Other,80,502,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
46,Asian,1513,461,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
47,Black,335,461,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
48,Hispanic,4272,461,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
49,White,29164,461,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
50,Other,799,461,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
51,Asian,2444,436,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
52,Black,250,436,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
53,Hispanic,6218,436,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
54,White,17761,436,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
55,Other,591,436,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
56,Asian,2470,437,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
57,Black,177,437,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
58,Hispanic,2204,437,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
59,White,13242,437,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
60,Other,344,437,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
61,Asian,4541,438,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
62,Black,473,438,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
63,Hispanic,3632,438,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
64,White,9358,438,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
65,Other,438,438,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
66,Asian,8275,439,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
67,Black,2215,439,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
68,Hispanic,25003,439,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
69,White,15349,439,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
70,Other,1237,439,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
71,Asian,2918,440,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
72,Black,812,440,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
73,Hispanic,27108,440,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
74,White,32643,440,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
75,Other,1365,440,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
76,Asian,4641,441,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
77,Black,1271,441,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
78,Hispanic,26359,441,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
79,White,22650,441,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
80,Other,1599,441,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
