id,star,current,officer_id,created_at,updated_at
21,14048,false,16,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
22,14008,true,16,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
28,12950,false,21,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
29,17436,false,21,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
30,16375,false,21,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
31,17184,false,21,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
42,20796,false,33,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
44,13485,false,33,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
49,15206,false,38,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
50,16224,false,38,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
52,12511,true,39,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
53,2511,false,39,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
57,18893,false,44,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
58,20137,true,44,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
61,14467,true,47,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
62,14753,false,47,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
73,17565,false,58,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
74,11783,false,58,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
75,18878,false,59,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
76,8827,false,59,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
84,16593,false,66,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
85,5431,false,66,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
95,6339,false,76,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
96,11787,false,76,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
115,4837,false,92,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
116,2456,false,92,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
117,20261,true,92,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
118,3697,false,93,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
120,20299,true,93,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
121,20828,true,94,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
122,9186,false,94,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
132,9186,false,107,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
133,16079,false,107,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
134,14459,true,107,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
135,12806,false,108,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
