,model,importances,parameters,set,type,outcome,train_start,train_end,test_start,test_end,precision_at_100,precision_at_5,precision_at_20,precision_at_50,precision_at_80,recall_at_100,recall_at_5,recall_at_20,recall_at_50,recall_at_80,f1_at_5,accuracy_at_50
0,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 84}",0,regular,sustained_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.09658314350797266,0.4954128440366973,0.27790432801822323,0.15952597994530537,0.11788154897494305,1.0,0.25471698113207547,0.5754716981132075,0.8254716981132075,0.9764150943396226,0.33644859813084116,0.5630979498861047
1,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 84}",0,regular,firearm_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.0036446469248291574,0.06422018348623854,0.015945330296127564,0.006381039197812215,0.003986332574031891,1.0,0.875,0.875,0.875,0.875,0.11965811965811966,0.5029612756264237
2,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 84}",0,augmented,sustained_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.09658314350797266,0.5871559633027523,0.28018223234624146,0.1659070191431176,0.11788154897494305,1.0,0.3018867924528302,0.5801886792452831,0.8584905660377359,0.9764150943396226,0.3987538940809969,0.5694760820045558
3,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 84}",0,augmented,firearm_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.0036446469248291574,0.05504587155963303,0.015945330296127564,0.006381039197812215,0.003986332574031891,1.0,0.75,0.875,0.875,0.875,0.10256410256410257,0.5029612756264237
4,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 84}",1,regular,sustained_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.08577298407806883,0.4536082474226804,0.2467866323907455,0.144912641315519,0.10468850353243417,1.0,0.2634730538922156,0.5748502994011976,0.844311377245509,0.9760479041916168,0.3333333333333333,0.559322033898305
5,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 84}",1,regular,firearm_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.001027221366204417,0.010309278350515464,0.005141388174807198,0.0020554984583761563,0.0012845215157353885,1.0,0.5,1.0,1.0,1.0,0.020202020202020204,0.5012840267077555
6,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 84}",1,augmented,sustained_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.08577298407806883,0.5876288659793815,0.2699228791773779,0.1459403905447071,0.10276172125883108,1.0,0.3413173652694611,0.6287425149700598,0.8502994011976048,0.9580838323353293,0.4318181818181818,0.5603492552645095
7,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 84}",1,augmented,firearm_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.001027221366204417,0.010309278350515464,0.002570694087403599,0.0020554984583761563,0.0012845215157353885,1.0,0.5,0.5,1.0,1.0,0.020202020202020204,0.5012840267077555
8,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 84}",0,regular,sustained_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.09658314350797266,0.5137614678899083,0.2642369020501139,0.1640838650865998,0.11788154897494305,1.0,0.2641509433962264,0.5471698113207547,0.8490566037735849,0.9764150943396226,0.3489096573208723,0.5676537585421413
9,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 84}",0,regular,firearm_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.0036446469248291574,0.05504587155963303,0.015945330296127564,0.006381039197812215,0.004555808656036446,1.0,0.75,0.875,0.875,1.0,0.10256410256410257,0.5029612756264237
10,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 84}",0,augmented,sustained_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.09658314350797266,0.5779816513761468,0.28018223234624146,0.1659070191431176,0.11788154897494305,1.0,0.2971698113207547,0.5801886792452831,0.8584905660377359,0.9764150943396226,0.3925233644859813,0.5694760820045558
11,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 84}",0,augmented,firearm_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.0036446469248291574,0.05504587155963303,0.018223234624145785,0.007292616226071103,0.004555808656036446,1.0,0.75,1.0,1.0,1.0,0.10256410256410257,0.503872437357631
12,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 84}",1,regular,sustained_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.08577298407806883,0.4639175257731959,0.2596401028277635,0.1459403905447071,0.10468850353243417,1.0,0.2694610778443114,0.6047904191616766,0.8502994011976048,0.9760479041916168,0.3409090909090909,0.5603492552645095
13,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 84}",1,regular,firearm_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.001027221366204417,0.010309278350515464,0.005141388174807198,0.0020554984583761563,0.0012845215157353885,1.0,0.5,1.0,1.0,1.0,0.020202020202020204,0.5012840267077555
14,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 84}",1,augmented,sustained_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.08577298407806883,0.6288659793814433,0.2802056555269923,0.1459403905447071,0.10404624277456648,1.0,0.3652694610778443,0.6526946107784432,0.8502994011976048,0.9700598802395209,0.46212121212121215,0.5603492552645095
15,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 84}",1,augmented,firearm_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.001027221366204417,0.010309278350515464,0.005141388174807198,0.0020554984583761563,0.0012845215157353885,1.0,0.5,1.0,1.0,1.0,0.020202020202020204,0.5012840267077555
16,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 84}",0,regular,sustained_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.09658314350797266,0.5321100917431193,0.275626423690205,0.1640838650865998,0.11788154897494305,1.0,0.27358490566037735,0.5707547169811321,0.8490566037735849,0.9764150943396226,0.36137071651090347,0.5676537585421413
17,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 84}",0,regular,firearm_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.0036446469248291574,0.05504587155963303,0.018223234624145785,0.007292616226071103,0.004555808656036446,1.0,0.75,1.0,1.0,1.0,0.10256410256410257,0.503872437357631
18,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 84}",0,augmented,sustained_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.09658314350797266,0.6146788990825688,0.2870159453302961,0.1649954421148587,0.11788154897494305,1.0,0.3160377358490566,0.5943396226415094,0.8537735849056604,0.9764150943396226,0.4174454828660436,0.5685649202733485
19,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 84}",0,augmented,firearm_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.0036446469248291574,0.05504587155963303,0.018223234624145785,0.007292616226071103,0.004555808656036446,1.0,0.75,1.0,1.0,1.0,0.10256410256410257,0.503872437357631
20,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 84}",1,regular,sustained_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.08577298407806883,0.5051546391752577,0.2622107969151671,0.144912641315519,0.10468850353243417,1.0,0.2934131736526946,0.6107784431137725,0.844311377245509,0.9760479041916168,0.37121212121212116,0.559322033898305
